Term	s105.STL.V05_4mo	s124.STL.V05_4mo	s172.STL.V01_1.4d	sNA.NegativeControl.4	s133.STL.V02_1mo	s158.STL.V02_1mo.2	s307.STL.V05_4mo	s189.STL.V01_1.4d	s252.STL.V01_1.4d	s173.STL.V01_1.4d	s265.STL.V01_1.4d	s237.STL.V02_1mo	s275.STL.V01_1.4d	s127.STL.V05_4mo	s285.STL.V05_4mo	s237.STL.V01_1.4d	s170.STL.V01_1.4d	s130.STL.V01_1.4d	s157.STL.V05_4mo	s302.STL.V01_1.4d	s186.STL.V01_1.4d	s165.STL.V05_4mo	s235.STL.V05_4mo	s287.STL.V02_1mo	s272.STL.V02_1mo	s248.STL.V02_1mo	s309.STL.V05_4mo	s107.STL.V01_1.4d	s160.STL.V01_1.4d	s189.STL.V05_4mo	s104.STL.V02_1mo	s191.STL.V01_1.4d	s251.STL.V01_1.4d	s105.STL.V02_1mo	s241.STL.V01_1.4d	s309.STL.V02_1mo	s327.STL.V02_1mo	s241.STL.V02_1mo	s245.STL.V01_1.4d	s196.STL.V01_1.4d	sNA.NegativeControl.5	sNA.MockDNA.6	s309.STL.V01_1.4d	s231.STL.V05_4mo	s253.STL.V01_1.4d	s325.STL.V01_1.4d	s188.STL.V02_1mo	s105.STL.V01_1.4d	s322.STL.V05_4mo	s210.STL.V02_1mo	s253.STL.V05_4mo	s305.STL.V01_1.4d	s147.STL.V01_1.4d	s187.STL.V05_4mo	s208.STL.V01_1.4d	s158.STL.V01_1.4d	s331.STL.V02_1mo	s158.STL.V02_1mo	s130.STL.V02_1mo	s281.STL.V02_1mo	s291.STL.V05_4mo	s291.STL.V01_1.4d	s111.STL.V02_1mo	s173.STL.V02_1mo	s235.STL.V01_1.4d	s161.STL.V01_1.4d	sNA.NegativeControl.1	s142.STL.V05_4mo	s211.STL.V02_1mo	s267.STL.V02_1mo	s281.STL.V05_4mo	sNA.DiaperBlank.NA	s252.STL.V05_4mo	s117.STL.V05_4mo	s117.STL.V02_1mo	s192.STL.V01_1.4d	sNA.EnvironmentalBlank.4	s263.STL.V01_1.4d	s185.STL.V02_1mo	s196.STL.V05_4mo	sNA.MockDNA.7	s319.STL.V02_1mo	s262.STL.V05_4mo	s176.STL.V05_4mo	sNA.NegativeControl.8	s124.STL.V02_1mo	s277.STL.V05_4mo	sNA.MockDNA.1	s302.STL.V05_4mo	s165.STL.V01_1.4d	s158.STL.V05_4mo	s222.STL.V02_1mo	sNA.EnvironmentalBlank.2	s185.STL.V05_4mo	s221.STL.V05_4mo	s263.STL.V05_4mo	sNA.NegativeControl.2	sNA.NegativeControl.3	s283.STL.V05_4mo	s187.STL.V01_1.4d	s192.STL.V05_4mo	s187.STL.V02_1mo	s210.STL.V05_4mo	s265.STL.V05_4mo	s188.STL.V05_4mo	s145.STL.V05_4mo	s172.STL.V02_1mo	s224.STL.V05_4mo	sNA.NegativeControl.6	s285.STL.V01_1.4d	s210.STL.V01_1.4d	s288.STL.V02_1mo	s245.STL.V05_4mo	s235.STL.V02_1mo	s142.STL.V02_1mo	s224.STL.V02_1mo	s262.STL.V02_1mo	s305.STL.V05_4mo	s128.STL.V02_1mo	sNA.MockDNA.4	s267.STL.V01_1.4d	s157.STL.V02_1mo	s325.STL.V02_1mo	s176.STL.V01_1.4d	s169.STL.V02_1mo	s192.STL.V02_1mo	s314.STL.V05_4mo	s222.STL.V01_1.4d	s275.STL.V05_4mo	s202.STL.V05_4mo	s250.STL.V01_1.4d	s153.STL.V05_4mo	s231.STL.V01_1.4d	s117.STL.V01_1.4d	s147.STL.V02_1mo	s172.STL.V05_4mo	s250.STL.V05_4mo	s170.STL.V05_4mo	s170.STL.V02_1mo	s257.STL.V05_4mo	s207.STL.V01_1.4d	s101.STL.V05_4mo	s288.STL.V05_4mo	s200.STL.V01_1.4d	sNA.MockDNA.8	s230.STL.V01_1.4d	s191.STL.V05_4mo	s229.STL.V01_1.4d	s208.STL.V05_4mo	s265.STL.V02_1mo	s160.STL.V02_1mo	s229.STL.V02_1mo	s224.STL.V01_1.4d	s193.STL.V02_1mo	s327.STL.V05_4mo	sNA.NegativeControl.7	s160.STL.V05_4mo	s241.STL.V05_4mo	s124.STL.V01_1.4d	s331.STL.V01_1.4d	s250.STL.V02_1mo	s208.STL.V02_1mo	s125.STL.V02_1mo	s125.STL.V01_1.4d	s193.STL.V01_1.4d	s202.STL.V02_1mo	s322.STL.V02_1mo	s287.STL.V01_1.4d	s231.STL.V02_1mo	s153.STL.V02_1mo	s180.STL.V01_1.4d	s222.STL.V05_4mo	s104.STL.V05_4mo	s211.STL.V01_1.4d	s307.STL.V02_1mo	s206.STL.V02_1mo	sNA.EnvironmentalBlank.3	s298.STL.V02_1mo	s207.STL.V05_4mo	s111.STL.V01_1.4d	s211.STL.V05_4mo	s288.STL.V01_1.4d	s256.STL.V05_4mo	s206.STL.V05_4mo	s248.STL.V05_4mo	s283.STL.V02_1mo	s281.STL.V01_1-4d	sNA.MockDNA.2	s230.STL.V02_1mo	s325.STL.V05_4mo	s245.STL.V02_1mo	s188.STL.V01_1.4d	s180.STL.V02_1mo	s107.STL.V05_4mo	s153.STL.V01_1.4d	s229.STL.V05_4mo	s272.STL.V05_4mo	s169.STL.V01_1.4d	s127.STL.V02_1mo	s221.STL.V02_1mo	s186.STL.V02_1mo	s142.STL.V01_1.4d	s295.STL.V01_1.4d	s327.STL.V01_1.4d	s251.STL.V05_4mo	s161.STL.V05_4mo	s331.STL.V05_4mo	s314.STL.V02_1mo	s145.STL.V02_1mo	s173.STL.V05_4mo	s307.STL.V01_1.4d	s185.STL.V01_1.4d	s202.STL.V01_1.4d	s145.STL.V01_1.4d	s149.STL.V05_4mo	sNA.MockDNA.3	s319.STL.V05_4mo	s285.STL.V02_1mo	s128.STL.V01_1.4d	s251.STL.V02_1mo	s149.STL.V01_1.4d	sNA.NegativeControl.9	s101.STL.V02_1mo	s128.STL.V05_4mo	s130.STL.V05_4mo	s298.STL.V05_4mo	s283.STL.V01_1.4d	s147.STL.V05_4mo	s184.STL.V05_4mo	s277.STL.V02_1mo	s252.STL.V02_1mo	sNA.MockDNA.5	s291.STL.V02_1mo	s256.STL.V01_1.4d	s196.STL.V02_1mo	s165.STL.V02_1mo	s193.STL.V05_4mo	s248.STL.V01_1.4d	s206.STL.V01_1.4d	s272.STL.V01_1.4d	s149.STL.V02_1mo	s184.STL.V02_1mo	s207.STL.V02_1mo	s157.STL.V01_1.4d	s261.STL.V01_1.4d	s277.STL.V01_1.4d	s261.STL.V02_1mo	s261.STL.V05_4mo	s257.STL.V01_1.4d	s180.STL.V05_4mo	s186.STL.V05_4mo	s305.STL.V02_1mo	s253.STL.V02_1mo	s200.STL.V02_1mo	s295.STL.V05_4mo	s161.STL.V02_1mo	s275.STL.V02_1mo	s298.STL.V01_1.4d	s302.STL.V02_1mo	s133.STL.V05_4mo	s127.STL.V01_1.4d	s322.STL.V01_1.4d	s267.STL.V05_4mo	sNA.EnvironmentalBlank.5	s256.STL.V02_1mo	s101.STL.V01_1.4d	s169.STL.V05_4mo	s221.STL.V01_1.4d	s191.STL.V02_1mo	s287.STL.V05_4mo	s319.STL.V01_1.4d	s133.STL.V01_1.4d	s189.STL.V02_1mo	s263.STL.V02_1mo	s104.STL.V01_1.4d	s237.STL.V05_4mo	s262.STL.V01_1.4d	s257.STL.V02_1mo	s184.STL.V01_1.4d	sNA.EnvironmentalBlank.1	s111.STL.V05_4mo	s107.STL.V02_1mo	s125.STL.V05_4mo	s176.STL.V02_1mo	s314.STL.V01_1.4d	s295.STL.V02_1mo	s230.STL.V05_4mo	s200.STL.V05_4mo
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	0	0	0	0.18555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04408	0	0	0	0	0	0	0	0	0	0	0	0	0.12705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82299	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis	0	0.01277	0	0	0	1.37714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07855	0	0	0	0	0	0	0	0	0	0	0.38903000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013800000000000002	0	0	0.43305	2.2612200000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006229999999999999	0	0	0	0	0	0	0	0	0	2.38558	0	0	0	0	0	0	0	0	0.0032700000000000003	0	0	0	0	0	0.00173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5801	0	0	0	0	0	0.24916999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	0	0.013059999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13445	0.01116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202	0	0	0.04029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0373	0	0	0	0.19738	0	0.006690000000000001	0	0	0	0	0	0	0	0	0	0	0.01114	0	0	0	0	0	0.03223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029089999999999998	0	0	0	0	0	0	0	0.028669999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09842999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2834	0	0	0.0098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22826999999999997	0.00892	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetales_noname|g__Tropheryma|s__Tropheryma_whipplei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006840000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007670000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_crenatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.09713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_propinquum	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudodiphtheriticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_variabile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14952000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01012	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Gordoniaceae|g__Gordonia|s__Gordonia_otitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria|s__Kocuria_rhizophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
